 time            i(VIin)         v(Vout)        
 1.60317849e-07  8.03119186e-06  1.15867987e+00 
 1.60645952e-07  8.01341114e-06  1.15709946e+00 
 1.61302157e-07  7.97739034e-06  1.15426248e+00 
 1.62614568e-07  7.90351990e-06  1.14974423e+00 
 1.65000000e-07  7.76306680e-06  1.14475926e+00 
 1.65050000e-07  7.76003812e-06  1.14484985e+00 
 1.65150000e-07  7.75397040e-06  1.14505347e+00 
 1.65329430e-07  7.74304844e-06  1.14536892e+00 
 1.65471537e-07  7.73436677e-06  1.14591231e+00 
 1.65500000e-07  7.73262455e-06  1.14609050e+00 
 1.65514905e-07  7.73171175e-06  1.14616957e+00 
 1.65544716e-07  7.72988524e-06  1.14633347e+00 
 1.65604337e-07  7.72622854e-06  1.14666239e+00 
 1.65723579e-07  7.71890045e-06  1.14729393e+00 
